,ds,y
901,2009-08-03,21.071365
902,2009-08-04,20.959946
903,2009-08-05,20.904235999999997
904,2009-08-06,20.752312
905,2009-08-07,20.954887
906,2009-08-10,20.854868
907,2009-08-11,20.615574
908,2009-08-12,20.929564000000003
909,2009-08-13,21.323318
910,2009-08-14,21.115675
911,2009-08-17,20.205362
912,2009-08-18,20.763706
913,2009-08-19,20.83967
914,2009-08-20,21.058702
915,2009-08-21,21.424595
916,2009-08-24,21.404345000000003
917,2009-08-25,21.44739
918,2009-08-26,21.195439999999998
919,2009-08-27,21.453722
920,2009-08-28,21.529685999999998
921,2009-08-31,21.296726
922,2009-09-01,20.928303
923,2009-09-02,20.913103
924,2009-09-03,21.086554
925,2009-09-04,21.562601
926,2009-09-08,21.894323
927,2009-09-09,21.667685000000002
928,2009-09-10,21.847473
929,2009-09-11,21.796825
930,2009-09-14,21.994335
931,2009-09-15,22.176648999999998
932,2009-09-16,23.02619
933,2009-09-17,23.365499
934,2009-09-18,23.425005
935,2009-09-21,23.298401000000002
936,2009-09-22,23.356635999999998
937,2009-09-23,23.485782999999998
938,2009-09-24,23.273075
939,2009-09-25,23.089489
940,2009-09-28,23.568073000000002
941,2009-09-29,23.470585
942,2009-09-30,23.466782000000002
943,2009-10-01,22.898317000000002
