,x,y,yd1,yvals
2374,927561600,1.313558,-2.0399173216230268e-08,0.6012641145320003
2375,927648000,1.394666,-2.038355298227393e-08,0.5995023005376083
2376,927734400,1.376862,-2.0367901783020734e-08,0.5977418374686749
2377,927820800,1.394666,-2.0352219618471955e-08,0.5959827280010472
2378,928166400,1.418405,-2.0289181307313372e-08,0.5889598796525206
2379,928252800,1.473796,-2.027334431628307e-08,0.5872075783225341
2380,928339200,1.501491,-2.0257476359956974e-08,0.5854566466462643
2381,928425600,1.523252,-2.0241577438334234e-08,0.5837070872991603
2382,928684800,1.5489700000000002,-2.019369488168933e-08,0.5784666699869376
2383,928771200,1.5094040000000002,-2.017767209888171e-08,0.5767226267103638
2384,928857600,1.533143,-2.0161618350778296e-08,0.5749799691399176
2385,928944000,1.523252,-2.0145533637378238e-08,0.5732386999511618
2386,929030400,1.469839,-2.0129417958682383e-08,0.5714988218193753
2387,929289600,1.438187,-2.0080885130816654e-08,0.5662875605192994
2388,929376000,1.45797,-2.006464559093592e-08,0.5645532733690857
2389,929462400,1.517317,-2.0048375085758545e-08,0.5628203906528597
2390,929548800,1.467861,-2.0032073615285372e-08,0.5610889150461276
2391,929635200,1.4916,-2.0015741179515556e-08,0.5593588492239974
2392,929894400,1.471818,-1.9966558080429637e-08,0.5541771372202788
2393,929980800,1.436209,-1.9950101783475154e-08,0.5524527372911621
2394,930067200,1.382796,-1.9933614521224663e-08,0.5507297605239501
2395,930153600,1.339275,-1.991709629367753e-08,0.549008209593751
2396,930240000,1.335318,-1.99005471008346e-08,0.5472880871761276
2397,930499200,1.3471879999999998,-1.9850713730527855e-08,0.5421363177525791
2398,930585600,1.436209,-1.9834040676500258e-08,0.540421936139353
2399,930672000,1.465883,-1.9817336657175805e-08,0.5387089964155507
2400,930758400,1.434231,-1.9800601672555557e-08,0.5369975012569057
2401,930844800,1.465883,-1.9783835722638877e-08,0.5352874533384693
2402,931190400,1.499513,-1.9716462270010384e-08,0.5284617875763615
2403,931276800,1.578643,-1.969954149361303e-08,0.5267590159909901
2404,931363200,1.725034,-1.968258975191882e-08,0.5250577076981813
2405,931449600,1.7606419999999998,-1.9665607044929026e-08,0.5233578653736117
2406,931708800,1.725034,-1.9614473132181266e-08,0.5182671609630916
2407,931795200,1.699316,-1.9597366564006593e-08,0.516573209265232
2408,931881600,1.770533,-1.9580229030535277e-08,0.5148807369125734
2409,931968000,1.685469,-1.9563060531767953e-08,0.5131897465803377
2410,932054400,1.679534,-1.9545861067704198e-08,0.5115002409442582
2411,932313600,1.723055,-1.949407688373646e-08,0.5064406589662553
